"year","gov_period","tone","right","center","left","years_inoffice","change","election","partner_right","partner_center","partner_left","partner_years_inoffice","partner_change","partner_election"
1979,USA03,1.6468174865400718,0,0,1,3,2.0,0,0,0,1,8,0.0,0
1979,USA03,0.5312285863115438,0,0,1,3,2.0,0,0,1,0,13,0.0,0
1979,USA03,-0.9305286248770361,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-0.44652172538926127,0,0,1,3,2.0,0,0,1,0,10,0.0,0
1979,USA03,0.663449343057052,0,0,1,3,2.0,0,1,0,0,1,0.0,1
1979,USA03,-0.2211023536207808,0,0,1,3,2.0,0,0,1,0,3,0.0,0
1979,USA03,0.13517378140540082,0,0,1,3,2.0,0,0,1,0,2,1.0,0
1979,USA03,-0.05709312798506794,0,0,1,3,2.0,0,0,1,0,6,0.0,0
1979,USA03,0.7089242296550076,0,0,1,3,2.0,0,0,0,1,1,1.0,1
1979,USA03,0.44106520234181,0,0,1,3,2.0,0,0,0,0,1,0.0,1
1979,USA03,-0.09817090016286922,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,4.033815962924022,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.09104554059141545,0,0,1,3,2.0,0,0,0,1,17,0.0,0
1979,USA03,0.8552591831867735,0,0,1,3,2.0,0,1,0,0,2,0.0,0
1979,USA03,-1.035987237960157,0,0,1,3,2.0,0,1,0,0,20,0.0,0
1979,USA03,-1.106234537520459,0,0,1,3,2.0,0,0,0,1,22,0.0,0
1979,USA03,0.39644466592121486,0,0,1,3,2.0,0,0,0,1,1,1.0,1
1979,USA03,0.4064231524927431,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,1.4080714918812545,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.7755506890409114,0,0,1,3,2.0,0,0,1,0,8,0.0,0
1979,USA03,0.7508261119794302,0,0,1,3,2.0,0,0,0,1,3,0.0,0
1979,USA03,2.061547767203182,0,0,1,3,2.0,0,0,1,0,3,1.0,0
1979,USA03,1.5401620187450629,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-0.24891430585434282,0,0,1,3,2.0,0,0,1,0,1,1.0,1
1979,USA03,0.47249950230142357,0,0,1,3,2.0,0,0,0,1,10,0.0,0
1979,USA03,1.1004252769615483,0,0,1,3,2.0,0,0,0,1,1,1.0,1
1979,USA03,1.1004252769615483,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,-0.33580376974280135,0,0,1,3,2.0,0,0,0,1,15,0.0,0
1979,USA03,0.9771991768046586,0,0,1,3,2.0,0,0,1,0,14,0.0,0
1979,USA03,-0.5474634231651576,0,0,1,3,2.0,0,1,0,0,2,1.0,0
1979,USA03,2.9979429919291096,0,0,1,3,2.0,0,0,0,1,8,0.0,0
1979,USA03,-0.07747173450953504,0,0,1,3,2.0,0,0,0,1,34,0.0,0
1979,USA03,2.26773674689081,0,0,1,3,2.0,0,0,0,1,10,0.0,0
1979,USA03,0.6350030740085222,0,0,1,3,2.0,0,0,0,1,4,2.0,0
1979,USA03,-3.4441899021786178,0,0,1,3,2.0,0,0,1,0,11,0.0,0
1979,USA03,-0.49564928318541224,0,0,1,3,2.0,0,0,0,1,4,1.0,0
1979,USA03,0.8674904688708542,0,0,1,3,2.0,0,0,0,1,11,0.0,0
1979,USA03,0.09765876844852173,0,0,1,3,2.0,0,0,1,0,2,0.0,0
1979,USA03,-1.3379469711878356,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,0.6001172678310578,0,0,1,3,2.0,0,1,0,0,5,0.0,0
1979,USA03,-0.15061820745886756,0,0,1,3,2.0,0,0,0,1,1,2.0,1
1979,USA03,-2.5899336572001905,0,0,1,3,2.0,0,0,1,0,1,0.0,1
1979,USA03,0.5225998999565951,0,0,1,3,2.0,0,0,0,1,32,0.0,0
1979,USA03,-3.390426461318398,0,0,1,3,2.0,0,0,0,1,4,1.0,0
1979,USA03,0.49215002995263823,0,0,1,3,2.0,0,0,1,0,14,0.0,0
1979,USA03,1.1791274670235792,0,0,1,3,2.0,0,0,1,0,3,0.0,0
1979,USA03,0.8787940532502763,0,0,1,3,2.0,0,0,1,0,9,0.0,0
1979,USA03,0.06732436103926265,0,0,1,3,2.0,0,0,1,0,3,0.0,0
1979,USA03,-0.4021155987970513,0,0,1,3,2.0,0,0,0,1,25,0.0,0
1979,USA03,0.31343026677732055,0,0,1,3,2.0,0,1,0,0,2,0.0,0
1979,USA03,7.442906872014932,0,0,1,3,2.0,0,0,1,0,15,0.0,0
1979,USA03,-1.5468616620340438,0,0,1,3,2.0,0,0,1,0,11,0.0,0
1979,USA03,0.5072500857142197,0,0,1,3,2.0,0,0,1,0,18,0.0,0
1979,USA03,-0.8904264613183983,0,0,1,3,2.0,0,0,0,1,4,0.0,0
1979,USA03,1.2009866353571548,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,-2.8669996594172016,0,0,1,3,2.0,0,1,0,0,14,0.0,0
1979,USA03,1.207896641604651,0,0,1,3,2.0,0,0,0,1,2,0.0,0
1979,USA03,-5.057093127985068,0,0,1,3,2.0,0,0,0,0,0,0.0,0
1979,USA03,0.9646278411043232,0,0,1,3,2.0,0,0,1,0,12,0.0,0
1979,USA03,0.32639674996624635,0,0,1,3,2.0,0,0,0,1,1,0.0,1
1979,USA03,0.3415465009752241,0,0,1,3,2.0,0,0,0,1,2,1.0,0
1979,USA03,-0.3650110165481175,0,0,1,3,2.0,0,1,0,0,5,0.0,0
