,country,type,value
0,94,R-Squared,0.008179342409833423
1,94,Adjusted R-Squared,0.0066694346532736315
0,95,R-Squared,0.013241718572094996
1,95,Adjusted R-Squared,0.011464487326777628
0,96,R-Squared,0.0173772486872239
1,96,Adjusted R-Squared,0.014978267360776676
0,97,R-Squared,0.024513134921059665
1,97,Adjusted R-Squared,0.0227705717465706
0,98,R-Squared,0.025533392112300768
1,98,Adjusted R-Squared,0.023454899525266804
0,99,R-Squared,0.045584120642931936
1,99,Adjusted R-Squared,0.042265567515821
0,100,R-Squared,0.027090262672024523
1,100,Adjusted R-Squared,0.023517329372986673
0,101,R-Squared,0.07317201065035206
1,101,Adjusted R-Squared,0.0714211763926077
0,102,R-Squared,0.012239897754549811
1,102,Adjusted R-Squared,0.010506605186450746
0,103,R-Squared,0.1273982705379192
1,103,Adjusted R-Squared,0.12426842215390876
0,104,R-Squared,0.06936771351946092
1,104,Adjusted R-Squared,0.06749855695210427
0,106,R-Squared,0.01179069939174382
1,106,Adjusted R-Squared,0.009822645021600351
0,107,R-Squared,0.06271447554995879
1,107,Adjusted R-Squared,0.05798071027495866
0,108,R-Squared,0.034000367517024066
1,108,Adjusted R-Squared,0.03011391392187579
0,109,R-Squared,0.046058854933763715
1,109,Adjusted R-Squared,0.04149255702439536
0,110,R-Squared,0.005748349140752729
1,110,Adjusted R-Squared,0.0034762932658457535
0,111,R-Squared,0.05438343153205272
1,111,Adjusted R-Squared,0.04794269948676011
0,112,R-Squared,0.04496081458754875
1,112,Adjusted R-Squared,0.04160766072877542
0,113,R-Squared,0.05913358055215656
1,113,Adjusted R-Squared,0.057304682544590535
0,115,R-Squared,0.09786900499137241
1,115,Adjusted R-Squared,0.09341403711478669
0,116,R-Squared,0.03438255972237503
1,116,Adjusted R-Squared,0.03071101051979863
0,118,R-Squared,0.031982775733645274
1,118,Adjusted R-Squared,0.026848643878809253
0,119,R-Squared,0.05554542544268404
1,119,Adjusted R-Squared,0.05155870288229014
0,120,R-Squared,0.05403008451370883
1,120,Adjusted R-Squared,0.050068736458908636
0,121,R-Squared,0.01673685448943585
1,121,Adjusted R-Squared,0.014952752615068787
0,122,R-Squared,0.011755579308513342
1,122,Adjusted R-Squared,0.00895522674208804
0,123,R-Squared,0.010702703887393805
1,123,Adjusted R-Squared,0.008029830409210348
0,124,R-Squared,0.01596382100775917
1,124,Adjusted R-Squared,0.012157104648021222
0,127,R-Squared,0.005487973314130645
1,127,Adjusted R-Squared,0.001664560994535158
0,128,R-Squared,0.10385417687227538
1,128,Adjusted R-Squared,0.1001326410619443
0,130,R-Squared,0.026224004965810788
1,130,Adjusted R-Squared,0.023701863231556985
0,133,R-Squared,0.015304016914099883
1,133,Adjusted R-Squared,0.011258429473319564
0,136,R-Squared,0.012402784327622873
1,136,Adjusted R-Squared,0.010519404655303655
0,137,R-Squared,0.01874226335084328
1,137,Adjusted R-Squared,0.01620087640700385
0,138,R-Squared,0.01687620582925886
1,138,Adjusted R-Squared,0.013595846155682878
0,139,R-Squared,0.056989365367362654
1,139,Adjusted R-Squared,0.05432398765500357
0,141,R-Squared,0.02501512686253804
1,141,Adjusted R-Squared,0.02171416237977042
0,142,R-Squared,0.018123069286304472
1,142,Adjusted R-Squared,0.016145870472946244
0,145,R-Squared,0.013243773224143607
1,145,Adjusted R-Squared,0.010648412291014098
0,146,R-Squared,0.008771766997337505
1,146,Adjusted R-Squared,0.004992387252786612
0,147,R-Squared,0.008617626157836455
1,147,Adjusted R-Squared,0.004860808741171341
0,148,R-Squared,0.04246319052972358
1,148,Adjusted R-Squared,0.04031361810030054
0,152,R-Squared,0.02229348219547389
1,152,Adjusted R-Squared,0.02003341165038719
0,153,R-Squared,0.13783562041263786
1,153,Adjusted R-Squared,0.13582858660581665
0,154,R-Squared,0.016808930429484614
1,154,Adjusted R-Squared,0.014509312788558604
0,156,R-Squared,0.01872185455565545
1,156,Adjusted R-Squared,0.01534279758098489
0,157,R-Squared,0.023688900308020178
1,157,Adjusted R-Squared,0.01844836837193864
0,158,R-Squared,0.07914048912073257
1,158,Adjusted R-Squared,0.07426821657639782
0,159,R-Squared,0.030674007265428016
1,159,Adjusted R-Squared,0.027872487055212614
0,160,R-Squared,0.012801470980572605
1,160,Adjusted R-Squared,0.010729459142611919
0,162,R-Squared,0.024850565384386014
1,162,Adjusted R-Squared,0.022531291053408342
0,163,R-Squared,0.051950466969377995
1,163,Adjusted R-Squared,0.049430277297232705
0,165,R-Squared,0.031129455250846094
1,165,Adjusted R-Squared,0.028955271700216834
0,166,R-Squared,0.01787769650103377
1,166,Adjusted R-Squared,0.01572155532979569
0,167,R-Squared,0.04478090184210337
1,167,Adjusted R-Squared,0.03869023809189376
0,168,R-Squared,0.017725081670497134
1,168,Adjusted R-Squared,0.015127720107606657
0,171,R-Squared,0.010318877173320917
1,171,Adjusted R-Squared,0.00871433579390024
0,172,R-Squared,0.04310949980361389
1,172,Adjusted R-Squared,0.040651996111295774
0,177,R-Squared,0.011830569334964625
1,177,Adjusted R-Squared,0.004191873806281943
0,180,R-Squared,0.0893864344694808
1,180,Adjusted R-Squared,0.08278778544389731
0,183,R-Squared,0.008971228170825407
1,183,Adjusted R-Squared,0.007329772648126953
0,184,R-Squared,0.07160032829581553
1,184,Adjusted R-Squared,0.06902501713990938
0,187,R-Squared,0.04542965191069481
1,187,Adjusted R-Squared,0.04214143162792083
0,188,R-Squared,0.004210646233164361
1,188,Adjusted R-Squared,0.002005743152584616
0,189,R-Squared,0.04876029536529758
1,189,Adjusted R-Squared,0.04548529168736892
0,191,R-Squared,0.05330739848293964
1,191,Adjusted R-Squared,0.0435224620331508
0,192,R-Squared,0.004076922561876528
1,192,Adjusted R-Squared,0.0015225459027307098
0,193,R-Squared,0.03971969479872128
1,193,Adjusted R-Squared,0.037489314022282505
0,194,R-Squared,0.03287371601318778
1,194,Adjusted R-Squared,0.02607664373617191
0,195,R-Squared,0.014710091663357128
1,195,Adjusted R-Squared,0.012583705751702645
0,196,R-Squared,0.04335776690485593
1,196,Adjusted R-Squared,0.04071437858461524
0,198,R-Squared,0.014561813811837299
1,198,Adjusted R-Squared,0.006934583268585204
0,200,R-Squared,0.1099352384996729
1,200,Adjusted R-Squared,0.10524245416838818
0,201,R-Squared,0.020104222295826535
1,201,Adjusted R-Squared,0.017736284344432418
0,202,R-Squared,0.005770464961875166
1,202,Adjusted R-Squared,0.0042671884016208805
0,203,R-Squared,0.014059007495856757
1,203,Adjusted R-Squared,0.012168873793476531
0,204,R-Squared,0.017493121380223742
