,country,name,coefficient, tvalue,pvalue,tvalue
0,1,const,-0.4725435561290877,,0.044132103634567654,-2.013925004779908
1,1,right,1.1069895526645066e-15,,0.07079290327087917,1.807630383219302
2,1,center,-0.1099078862785948,,0.4396724373715476,-0.7728788601504991
3,1,left,-0.14521253356023597,,0.6702840884848139,-0.42581208976294876
4,1,years_inoffice,0.013996176893144556,,0.30986267044430965,1.0157315147252879
5,1,change,-0.6565577967992074,,0.0377665203996196,-2.078564734340065
6,1,election,-0.21443352001135324,,0.15958497015311482,-1.406918158517649
7,1,partner_right,0.22449946271439547,,0.35857344486116516,0.918268256508088
8,1,partner_center,0.47012670086067404,,0.038304240712504045,2.0727604299141364
9,1,partner_left,0.3311592253932759,,0.15989159616328893,1.405884856611196
10,1,partner_years_inoffice,0.007698399232447559,,0.1778343450983436,1.3478601358338673
11,1,partner_change,-0.15049472891805582,,0.019367196634035716,-2.3400099216340493
12,1,partner_election,-0.03873491006799114,,0.7593494621947243,-0.3063711122663539
0,2,const,0.28159761762278385,,0.354619353326998,0.926087086660467
1,2,right,0.3597086107346747,,0.08278275283960441,1.7364663026001093
2,2,center,-3.702569378058874e-16,,0.05982870256158498,-1.8841472907809425
3,2,left,-0.07811099311189164,,0.6122800805146804,-0.5069773454925339
4,2,years_inoffice,-0.05393129790004538,,0.35134209135599237,-0.9324154297107801
5,2,change,-0.09944497231599851,,0.4283465842815062,-0.7923395662362359
6,2,election,-0.2347032001290472,,0.32365281326367124,-0.987456095335453
7,2,partner_right,0.29017103938737676,,0.47044544778103403,0.7220230861109438
8,2,partner_center,0.0384828728073405,,0.9192602687280848,0.10139062145416355
9,2,partner_left,0.22703503743674813,,0.5665593766056096,0.5733123095758261
10,2,partner_years_inoffice,0.02487900469679094,,0.09203662321906136,1.686334366351484
11,2,partner_change,-0.24072750729926942,,0.03391858441130227,-2.12389499814059
12,2,partner_election,0.15718790482798065,,0.5023084952409185,0.6710999594950909
0,3,const,-0.27964585631492783,,0.1812715382640346,-1.337350128840604
1,3,right,-1.4122668429026326e-15,,0.21881780617076657,-1.2300921895565282
2,3,center,-0.48155171622310744,,0.0011288220248161366,-3.2613551771605893
3,3,left,0.2019058599082116,,0.27723553520321437,1.0868683140017072
4,3,years_inoffice,0.03868400043958434,,0.0004245021789506757,3.5307173621622017
5,3,change,-0.6022803214037941,,0.011460393266501641,-2.5308472409012057
6,3,election,0.6092415455954017,,0.010269578447955877,2.5692320365363943
7,3,partner_right,0.46673022515245016,,0.11542176490927829,1.5750189633726095
8,3,partner_center,0.5181958537888038,,0.05778821368910998,1.89847226677427
9,3,partner_left,0.7641898727426555,,0.008021181556958811,2.6540346199649973
10,3,partner_years_inoffice,0.00410924314477283,,0.5345369308634882,0.6212107399194485
11,3,partner_change,-0.15392752645993502,,0.056028621028305095,-1.9120057031096855
12,3,partner_election,0.011834450885022595,,0.9420129169552252,0.07274993448843538
0,6,right,0.0,,,
1,6,center,1.7898536760001283e-15,,0.08424210598063643,1.7277110021260118
2,6,left,0.745917740350101,,0.0478460181587639,1.9803261005929156
3,6,years_inoffice,-0.016426990504549103,,0.006880235765625978,-2.706262614891433
4,6,change,-1.6386491062577966e-16,,0.011428160303463785,-2.532391480422504
5,6,election,1.3062070183281944,,1.3385639777903816e-05,4.367959134001534
6,6,partner_right,0.6859159298532473,,0.06270228156323476,1.8626572947346411
7,6,partner_center,0.5462291790797421,,0.1198761347851934,1.5561642045225141
8,6,partner_left,0.60759304852722,,0.08722733018824577,1.711307383868304
9,6,partner_years_inoffice,-0.005186046489659039,,0.5113556411956607,-0.6568821117983902
10,6,partner_change,0.010455263076190555,,0.9064356523817207,0.11755507548042526
11,6,partner_election,-0.09341095628288143,,0.6206868032416465,-0.4949780169793822
0,9,const,-0.024406117211075332,,0.9232988207556545,-0.09629307099428451
1,9,right,-0.008050016805241797,,0.960816540626775,-0.049135963620436165
2,9,center,-0.47364892436642336,,0.010175891868033957,-2.572583839274967
3,9,left,0.45729282396056375,,3.9395233398372526e-05,4.1215165133336376
4,9,years_inoffice,-0.06411421025903652,,0.05391889055716404,-1.9287846063428489
5,9,change,0.6312344967017005,,6.405335527469348e-11,6.574891094066174
6,9,election,-0.48516947317847037,,0.0010549320891432045,-3.2809385510543354
7,9,partner_right,-0.07980830959924635,,0.7942395254170651,-0.26084908910253785
8,9,partner_center,0.2133221036747121,,0.46917304580240926,0.7239825578276622
9,9,partner_left,0.17825676625080136,,0.5568881200093998,0.5875826731295928
10,9,partner_years_inoffice,0.016238720379535082,,0.03800949233887303,2.076323069012489
11,9,partner_change,-0.02250100658650088,,0.7544666365931301,-0.3128041937988793
12,9,partner_election,0.23260368493499448,,0.11812269361648382,1.5634695204334583
0,10,const,-1.8559585537849512,,0.02643397021903206,-2.222183127305275
1,10,right,-7.220576416717192e-15,,0.028628149092063918,-2.190887499140669
2,10,center,1.6233919116772286,,0.05072941734462753,1.955483053116461
3,10,left,-3.807185916802813e-16,,0.019467786173679044,-2.339211275394865
4,10,years_inoffice,0.1683939393833884,,4.824863659028334e-09,5.891027007360069
5,10,change,5.312364561372044e-16,,0.051693453916318056,1.9473809111140985
6,10,election,1.3093942428751117,,8.368104891270419e-08,5.3882486092838
7,10,partner_right,-0.031093744407338936,,0.9293732604883466,-0.08864972979236763
8,10,partner_center,0.20092018011761872,,0.539626506066498,0.6135321843862899
9,10,partner_left,0.35927884601523624,,0.2988315746497334,1.0393372511739891
10,10,partner_years_inoffice,0.004474023921883678,,0.69043160351187,0.3983537547423078
11,10,partner_change,-0.031205405707548033,,0.7493703180623866,-0.31953411068851806
12,10,partner_election,0.0026776826813577127,,0.9895316352305348,0.013122924385060878
0,12,const,0.06871976638102087,,0.5947319638208686,0.5320536653203384
1,12,right,0.2584014088499477,,0.0006352981373112803,3.4200320652984537
2,12,center,-8.493140295228347e-17,,0.7564369201864343,-0.3101941364286604
3,12,left,-0.18968164246892935,,0.011405143661941699,-2.5317436874008274
4,12,years_inoffice,-0.07622959284054151,,5.364156489129529e-06,-4.559042529063194
5,12,change,-0.14825746315945107,,0.00012481878295189313,-3.8419725741180364
6,12,election,-0.09287969131737309,,0.30928947027338105,-1.016902764136451
7,12,partner_right,0.46514129279284666,,0.021435325975876062,2.301548711525612
8,12,partner_center,0.3836350207108316,,0.04359067443547875,2.0189400022319197
9,12,partner_left,0.4983725400537487,,0.011184809348168347,2.538593429266847
10,12,partner_years_inoffice,0.010129251178744988,,0.029493199455995094,2.177971081365091
11,12,partner_change,-0.005188701172342332,,0.9196516035893412,-0.1008818859333858
12,12,partner_election,0.015688245496005213,,0.879342681282073,0.15181670723664992
0,13,const,-0.021376771488580297,,0.9053948301297946,-0.11886457297824435
1,13,right,0.26100734750115046,,0.017132824789646842,2.385878440346698
2,13,center,2.2774915832815897e-17,,0.7804295836521574,0.27879757920655734
3,13,left,-0.2823841189897373,,0.010525190765318772,-2.5605435533645573
4,13,years_inoffice,-0.02844823751619484,,0.22664283538433483,-1.2094318571069538
5,13,change,-0.288291186752562,,1.0479625150011424e-05,-4.418538893867262
6,13,election,-0.06522416265584441,,0.682111111726267,-0.4096450464978367
7,13,partner_right,1.0043171190196194,,0.00022698509389785902,3.693793817532779
8,13,partner_center,0.9534050713222043,,0.0001857973959003786,3.7447321619514526
9,13,partner_left,1.1063815404546276,,2.954137340386367e-05,4.186821926290517
10,13,partner_years_inoffice,-0.00785097767229753,,0.27413320108710215,-1.0939001256857206
11,13,partner_change,-0.11479830846518561,,0.10350019429269587,-1.6288749607437805
12,13,partner_election,-0.08422009209981278,,0.5542542465830859,-0.5914991346339185
0,14,const,-2.421658833607199,,0.0104659813456246,-2.5631238080687466
1,14,right,5.361082140562145e-15,,0.11386519450849221,1.5819377651241493
2,14,center,0.7422572840225082,,0.44065545354164826,0.7712826872677365
3,14,left,-2.3756115105974415e-15,,0.07247842988104554,-1.7973106150252678
4,14,years_inoffice,0.33236246316327966,,1.2741508539475442e-67,18.247934259353787
5,14,change,-1.0057965653738985e-15,,0.054294303053237285,-1.9259236085410947
6,14,election,1.5873751604656885,,0.0001370163275531202,3.822952251474497
7,14,partner_right,-0.3191989928615926,,0.3891417614991697,-0.8614137205542728
8,14,partner_center,0.04810213157051929,,0.8879199519171174,0.1409595863181238
9,14,partner_left,-0.19654625940742887,,0.5858376092615792,-0.5449902789260186
10,14,partner_years_inoffice,0.02227930092219327,,0.024104937401942944,2.2576407504644487
11,14,partner_change,-0.054203375654339254,,0.598252730215105,-0.5270220527273048
12,14,partner_election,0.278862507324457,,0.1877010252472382,1.3179847332951573
0,15,const,-0.740235047674336,,0.15344513346396893,-1.4290636774081233
1,15,right,-0.42746459807863224,,0.09543410594716531,-1.6697245496802497
2,15,center,-0.31277044959570166,,0.3024112840690751,-1.0320592433262836
3,15,left,1.3351859289633886e-16,,0.6999834235717164,0.3855055971758662
4,15,years_inoffice,0.009327441243752814,,0.9100430294074584,0.1130263425285383
5,15,change,1.7501401348423637,,0.00016439207642660655,3.789419062069085
6,15,election,-0.5132094144443633,,0.10875559017060824,-1.6059206851010355
7,15,partner_right,0.6940789343035461,,0.21783167714526774,1.2334565081222306
8,15,partner_center,0.3204294122273626,,0.5588424154067668,0.5848502463603994
9,15,partner_left,0.7169665702442128,,0.20114940801093376,1.2795228104273118
10,15,partner_years_inoffice,0.024288382162278074,,0.18322604663258824,1.3322448324998635
11,15,partner_change,-0.3200007096715832,,0.01600127079729789,-2.4149255605259348
12,15,partner_election,-0.012930564138866675,,0.964372216227032,-0.0446841118605051
0,16,right,0.0,,,
1,16,center,-0.4579322111929822,,0.2222509059991134,-1.2212482316176096
2,16,left,6.942468539776053e-16,,0.0404826166701359,2.0511871521336045
3,16,years_inoffice,0.05572588463041102,,2.41464548903104e-05,4.240576785967418
4,16,change,-1.727231186597924e-17,,0.6294422210960023,-0.4826458397716361
5,16,election,-0.10726820360357818,,0.8611414397994112,-0.17496187692151663
6,16,partner_right,0.7842200049325189,,0.04784525927910343,1.9809292931844666
7,16,partner_center,0.5932938245405455,,0.09123286810606328,1.6903939621716249
8,16,partner_left,0.9416853097120859,,0.017114021746835125,2.387837212727118
9,16,partner_years_inoffice,0.0008394893370790332,,0.9307728597350343,0.08689217903829055
10,16,partner_change,-0.17398901509804263,,0.17125582294555852,-1.3690637029873685
11,16,partner_election,-0.15470227367695558,,0.5222236367866666,-0.6401243347505541
0,17,const,0.41473615029830374,,0.26588469764832473,1.1129663624975725
1,17,right,1.4406677491725481,,0.5747403635913662,0.5611954613414567
2,17,center,-0.8304080960865773,,0.008952569065984019,-2.616959786981896
3,17,left,0.0737463080151549,,0.9772166442457146,0.02856290647158522
4,17,years_inoffice,0.22520496958138195,,1.0557413281233423e-06,4.899338372492432
5,17,change,-1.502756170531416,,0.00010982924588979924,-3.8771391777908466
6,17,election,0.2704909174302656,,0.22436807403184847,1.2154499944207715
7,17,partner_right,0.42854394044734334,,0.1888527830372481,1.3145225160315068
8,17,partner_center,0.034577780238847965,,0.9079067659549462,0.11569696318943731
