,country,type,value
0,94,R-Squared,0.008179342409833312
1,94,Adjusted R-Squared,0.0066694346532735205
0,95,R-Squared,0.013241718572095662
1,95,Adjusted R-Squared,0.011464487326778294
0,96,R-Squared,0.01737724868722368
1,96,Adjusted R-Squared,0.014978267360776454
0,97,R-Squared,0.02451313492106033
1,97,Adjusted R-Squared,0.022770571746571266
0,98,R-Squared,0.025533392112300213
1,98,Adjusted R-Squared,0.02345489952526625
0,99,R-Squared,0.04558412064293149
1,99,Adjusted R-Squared,0.04226556751582056
0,100,R-Squared,0.0270902626720243
1,100,Adjusted R-Squared,0.02351732937298645
0,101,R-Squared,0.07317201065035295
1,101,Adjusted R-Squared,0.07142117639260859
0,102,R-Squared,0.012239897754550033
1,102,Adjusted R-Squared,0.010506605186450968
0,103,R-Squared,0.12739827053791897
1,103,Adjusted R-Squared,0.12426842215390854
0,104,R-Squared,0.06936771351946125
1,104,Adjusted R-Squared,0.0674985569521046
0,106,R-Squared,0.01179069939174282
1,106,Adjusted R-Squared,0.009822645021599352
0,107,R-Squared,0.06271447554995857
1,107,Adjusted R-Squared,0.057980710274958436
0,108,R-Squared,0.034000367517023955
1,108,Adjusted R-Squared,0.03011391392187568
0,109,R-Squared,0.04605885493376349
1,109,Adjusted R-Squared,0.04149255702439514
0,110,R-Squared,0.005748349140752507
1,110,Adjusted R-Squared,0.0034762932658455314
0,111,R-Squared,0.05438343153205227
1,111,Adjusted R-Squared,0.047942699486759666
0,112,R-Squared,0.044960814587548636
1,112,Adjusted R-Squared,0.04160766072877531
0,113,R-Squared,0.059133580552156784
1,113,Adjusted R-Squared,0.05730468254459076
0,115,R-Squared,0.09786900499137263
1,115,Adjusted R-Squared,0.09341403711478691
0,116,R-Squared,0.03438255972237525
1,116,Adjusted R-Squared,0.030711010519798854
0,118,R-Squared,0.03198277573364472
1,118,Adjusted R-Squared,0.026848643878808698
0,119,R-Squared,0.05555130703865108
1,119,Adjusted R-Squared,0.05156460930559348
0,120,R-Squared,0.05403008451370939
1,120,Adjusted R-Squared,0.05006873645890919
0,121,R-Squared,0.01673685448943607
1,121,Adjusted R-Squared,0.01495275261506901
0,122,R-Squared,0.011755579308513231
1,122,Adjusted R-Squared,0.00895522674208793
0,123,R-Squared,0.010702703887393472
1,123,Adjusted R-Squared,0.008029830409210015
0,124,R-Squared,0.015963821007759282
1,124,Adjusted R-Squared,0.012157104648021333
0,127,R-Squared,0.005487973314130867
1,127,Adjusted R-Squared,0.00166456099453538
0,128,R-Squared,0.1038556264981817
1,128,Adjusted R-Squared,0.10013409670789175
0,130,R-Squared,0.026224004965810344
1,130,Adjusted R-Squared,0.02370186323155654
0,133,R-Squared,0.015304016914100105
1,133,Adjusted R-Squared,0.011258429473319786
0,136,R-Squared,0.01240278432762365
1,136,Adjusted R-Squared,0.010519404655304432
0,137,R-Squared,0.018742263350842725
1,137,Adjusted R-Squared,0.016200876407003295
0,138,R-Squared,0.016876205829258195
1,138,Adjusted R-Squared,0.013595846155682212
0,139,R-Squared,0.056989365367362765
1,139,Adjusted R-Squared,0.05432398765500368
0,141,R-Squared,0.025015126862538484
1,141,Adjusted R-Squared,0.021714162379770863
0,142,R-Squared,0.01807955885958501
1,142,Adjusted R-Squared,0.016102272429580178
0,145,R-Squared,0.01324377322414394
1,145,Adjusted R-Squared,0.01064841229101443
