"year","tone","country_iso","country_name","partner_iso","partner_name","data_type"
2016,-0.21240496255079444,IRN,Iran,USA,United States of America,3
2016,-0.6953479174669166,IRN,Iran,USA,United States of America,1
2016,-1.2303895440197354,IRN,Iran,USA,United States of America,2
2017,-1.622440827101504,IRN,Iran,USA,United States of America,2
2017,-1.2005221988800958,IRN,Iran,USA,United States of America,1
2017,-0.8361972293360065,IRN,Iran,USA,United States of America,3
2018,-2.0953414784987547,IRN,Iran,USA,United States of America,2
2018,-1.1920923118715674,IRN,Iran,USA,United States of America,3
2018,-1.562747118861308,IRN,Iran,USA,United States of America,1
2019,-2.503879503381053,IRN,Iran,USA,United States of America,2
2019,-1.9524384034609295,IRN,Iran,USA,United States of America,1
2019,-1.5702415784150805,IRN,Iran,USA,United States of America,3
2020,-2.2199336803432588,IRN,Iran,USA,United States of America,1
2020,-2.491222189989934,IRN,Iran,USA,United States of America,2
2020,-2.017068040717907,IRN,Iran,USA,United States of America,3
2021,-1.2434750496953846,IRN,Iran,USA,United States of America,2
2021,-1.0585827493053943,IRN,Iran,USA,United States of America,1
2021,-0.6443364332351322,IRN,Iran,USA,United States of America,3
2022,-0.32121017260570506,IRN,Iran,USA,United States of America,3
2022,-1.7894795936051326,IRN,Iran,USA,United States of America,2
2022,-0.7260505626654039,IRN,Iran,USA,United States of America,1
