,country,type,value
0,115,R-Squared,0.04497794372582864
1,115,Adjusted R-Squared,0.03409450148908588
0,116,R-Squared,0.03971702654645781
1,116,Adjusted R-Squared,0.03213335054682476
0,118,R-Squared,0.04047460471727993
1,118,Adjusted R-Squared,0.02802939855278297
0,119,R-Squared,0.0705662795297044
1,119,Adjusted R-Squared,0.05793810397983634
0,120,R-Squared,0.05114769797891705
1,120,Adjusted R-Squared,0.03990537212558676
0,121,R-Squared,0.01616984401749022
1,121,Adjusted R-Squared,0.012462523599280129
0,122,R-Squared,0.01738668024864909
1,122,Adjusted R-Squared,0.011358377673487463
0,123,R-Squared,0.025323112294615258
1,123,Adjusted R-Squared,0.018624302069836007
0,124,R-Squared,0.045791316392596815
1,124,Adjusted R-Squared,0.03615284484100678
0,127,R-Squared,0.034624375211057656
1,127,Adjusted R-Squared,0.024366546848483384
0,128,R-Squared,0.13323285556548758
1,128,Adjusted R-Squared,0.1227772808437203
0,130,R-Squared,0.026974021604719622
1,130,Adjusted R-Squared,0.02165693975556504
0,133,R-Squared,0.010173766331613043
1,133,Adjusted R-Squared,-0.0007514680355877879
0,136,R-Squared,0.025079054393391753
1,136,Adjusted R-Squared,0.020734002825228526
0,137,R-Squared,0.023441662945467456
1,137,Adjusted R-Squared,0.016261086937713554
0,138,R-Squared,0.014104006086648968
1,138,Adjusted R-Squared,0.006691254252713996
0,139,R-Squared,0.09443812170473909
1,139,Adjusted R-Squared,0.08679624931406182
0,141,R-Squared,0.0491813594248357
1,141,Adjusted R-Squared,0.04131744585616892
0,142,R-Squared,0.02555809742716819
1,142,Adjusted R-Squared,0.021649385423266
0,145,R-Squared,0.02358664894386664
1,145,Adjusted R-Squared,0.018203995409929896
0,146,R-Squared,0.013325152288061526
1,146,Adjusted R-Squared,0.0016043927580060569
0,147,R-Squared,0.029111023874536235
1,147,Adjusted R-Squared,0.020759290746575343
0,148,R-Squared,0.047762036238022554
1,148,Adjusted R-Squared,0.043368320801201454
0,152,R-Squared,0.03197768631406628
1,152,Adjusted R-Squared,0.027292195928364738
0,153,R-Squared,0.10665889674614815
1,153,Adjusted R-Squared,0.1015995215659079
0,154,R-Squared,0.026486551882633158
1,154,Adjusted R-Squared,0.02203203943284493
0,156,R-Squared,0.02308383800472591
1,156,Adjusted R-Squared,0.014461453521096068
0,157,R-Squared,0.061292877369541476
1,157,Adjusted R-Squared,0.04768842631692605
0,158,R-Squared,0.03199137759728632
1,158,Adjusted R-Squared,0.017543487710678596
0,159,R-Squared,0.034748839318143765
1,159,Adjusted R-Squared,0.027481376780498112
0,160,R-Squared,0.013449021488693425
1,160,Adjusted R-Squared,0.008805214581474985
0,162,R-Squared,0.031143170478787674
1,162,Adjusted R-Squared,0.026151402270481516
0,163,R-Squared,0.03002035161156591
1,163,Adjusted R-Squared,0.024259133397595667
0,165,R-Squared,0.013955324633182054
1,165,Adjusted R-Squared,0.00993475511078934
0,166,R-Squared,0.008696978032392666
1,166,Adjusted R-Squared,0.004130865540602602
0,167,R-Squared,0.05095080267848595
1,167,Adjusted R-Squared,0.03470459673289661
0,168,R-Squared,0.014684238803053473
1,168,Adjusted R-Squared,0.009485930230791362
0,171,R-Squared,0.021801009227758184
1,171,Adjusted R-Squared,0.019059420128060167
0,172,R-Squared,0.05019179697749465
1,172,Adjusted R-Squared,0.04492970166989074
0,177,R-Squared,0.09815233073046059
1,177,Adjusted R-Squared,0.076679767176424
0,180,R-Squared,0.04544819652551746
1,180,Adjusted R-Squared,0.020972509256941052
0,183,R-Squared,0.028004350944175527
1,183,Adjusted R-Squared,0.024833076395869402
0,184,R-Squared,0.0777712125499822
1,184,Adjusted R-Squared,0.07112212251789829
0,187,R-Squared,0.04266316939051895
1,187,Adjusted R-Squared,0.03284433010221666
0,188,R-Squared,0.048549808972010444
1,188,Adjusted R-Squared,0.04396726741377821
0,189,R-Squared,0.019412404139412476
1,189,Adjusted R-Squared,0.010000132276876239
0,191,R-Squared,0.10789881903768439
1,191,Adjusted R-Squared,0.08123275112848471
0,192,R-Squared,0.026524761109994688
1,192,Adjusted R-Squared,0.021253234545608346
0,193,R-Squared,0.015106755740659006
1,193,Adjusted R-Squared,0.010686229509692446
0,194,R-Squared,0.035796005820232235
1,194,Adjusted R-Squared,0.025250024633891033
0,195,R-Squared,0.01267722124403814
1,195,Adjusted R-Squared,0.008612643936285358
0,196,R-Squared,0.08714163738763214
1,196,Adjusted R-Squared,0.08122167394656621
0,198,R-Squared,0.017649669209259145
1,198,Adjusted R-Squared,-0.00598977725361971
0,200,R-Squared,0.0623634257433644
1,200,Adjusted R-Squared,0.04573129138847942
0,201,R-Squared,0.02255299679418099
1,201,Adjusted R-Squared,0.017462126985817394
0,202,R-Squared,0.006068345223588456
1,202,Adjusted R-Squared,0.0030438289671368413
0,203,R-Squared,0.028617610245836644
1,203,Adjusted R-Squared,0.02511713316564146
0,204,R-Squared,0.05317173200270153
1,204,Adjusted R-Squared,0.042473107505556995
0,205,R-Squared,0.017021002450176348
1,205,Adjusted R-Squared,0.011802799410761233
0,206,R-Squared,0.033650065649066474
1,206,Adjusted R-Squared,0.028435009338483974
0,208,R-Squared,0.0346502797437136
1,208,Adjusted R-Squared,0.024339468312404855
0,211,R-Squared,0.06626409143470713
1,211,Adjusted R-Squared,0.05369698633961573
0,212,R-Squared,0.016095498609149828
1,212,Adjusted R-Squared,0.009097600306227749
0,213,R-Squared,0.02777558062966612
1,213,Adjusted R-Squared,0.023764152042616615
0,214,R-Squared,0.14316282999740593
1,214,Adjusted R-Squared,0.13259763677912484
0,217,R-Squared,0.04531464165772081
1,217,Adjusted R-Squared,0.03984679882643627
0,218,R-Squared,0.009902565960231091
1,218,Adjusted R-Squared,0.004524258911126067
0,219,R-Squared,0.02476032494734115
1,219,Adjusted R-Squared,0.020905622674405766
0,220,R-Squared,0.02264976871629254
1,220,Adjusted R-Squared,0.020078471080713145
0,221,R-Squared,0.009784360006716453
1,221,Adjusted R-Squared,0.00769573811261548
0,222,R-Squared,0.04898386222594553
1,222,Adjusted R-Squared,0.03661840416978168
0,224,R-Squared,0.09587579912993593
1,224,Adjusted R-Squared,0.08688360545039653
0,225,R-Squared,0.04524455060070409
1,225,Adjusted R-Squared,0.01262868121128724
0,227,R-Squared,0.013726932641203948
1,227,Adjusted R-Squared,0.007139802258115391
0,228,R-Squared,0.0033836341437589734
1,228,Adjusted R-Squared,-0.0005536156966605699
0,231,R-Squared,0.013681077304529388
1,231,Adjusted R-Squared,0.010234600763979751
0,232,R-Squared,0.09677590737912056
1,232,Adjusted R-Squared,0.08949184211604899
0,233,R-Squared,0.022160518868539425
1,233,Adjusted R-Squared,0.01714309849785345
